bench_name,prog_name,malloc_times,min_size,max_size
mediabench2,cjpeg,15,0xa8,0x53a0
mediabench2,djpeg,15,0xa8,0x3fb8
mediabench2,h263enc,194259,0x10,0x94800
mediabench2,h264dec,4,0x228,0x1000
mediabench2,mpeg2dec,14,0x400,0x63000
mediabench2,mpeg2enc,36,0x80,0x129000
mibench,automotive_basicmath,1,0x400,0x400
mibench,automotive_bitcount,1,0x400,0x400
mibench,automotive_qsort,4,0x228,0x124f80
mibench,automotive_susan,9,0x204,0x6c000
mibench,consumer_jpeg,15,0xa0,0x3fb8
mibench,consumer_typeset,154,0x1,0x1a301
mibench,network_dijkstra,75724,0x18,0x1000
mibench,network_patricia,62725,0x10,0x1000
mibench,office_stringsearch,1,0x400,0x400
mibench,security_blowfish,4,0x228,0x1000
mibench,security_sha,0,0,0
mibench,telecomm_adpcm,0,0,0
mibench,telecomm_CRC32,8,0x228,0x1000
mibench,telecomm_FFT,7,0x20,0x20000
mibench,telecomm_gsm,10,0x6,0x1000
