malloc(0x591), image: ld-linux-x86-64.so.2
malloc(0x491), image: ld-linux-x86-64.so.2
malloc(0x10), image: ld-linux-x86-64.so.2
malloc(0x4b), image: ld-linux-x86-64.so.2
malloc(0x28), image: ld-linux-x86-64.so.2
malloc(0x140), image: ld-linux-x86-64.so.2
malloc(0x20), image: ld-linux-x86-64.so.2
malloc(0x49a), image: ld-linux-x86-64.so.2
malloc(0x20), image: ld-linux-x86-64.so.2
malloc(0x28), image: ld-linux-x86-64.so.2
malloc(0x38), image: ld-linux-x86-64.so.2
malloc(0xc0), image: ld-linux-x86-64.so.2
malloc(0x48), image: ld-linux-x86-64.so.2
malloc(0x2a0), image: ld-linux-x86-64.so.2
malloc(0x90), image: ld-linux-x86-64.so.2
malloc(0x410), image: ld-linux-x86-64.so.2
malloc(0x110), image: ld-linux-x86-64.so.2
malloc(0xa8), image: libc.so.6
malloc(0x760), image: libc.so.6
malloc(0x228), image: libc.so.6
malloc(0x228), image: libc.so.6
malloc(0x1018), image: libc.so.6
malloc(0x1000), image: libc.so.6
malloc(0x3fb8), image: libc.so.6
malloc(0x598), image: libc.so.6
malloc(0x598), image: libc.so.6
malloc(0x518), image: libc.so.6
malloc(0x3718), image: libc.so.6
malloc(0xdd8), image: libc.so.6
malloc(0xdd8), image: libc.so.6
malloc(0x19c0), image: libc.so.6
malloc(0x1000), image: libc.so.6
