Loading memory operations...
Finished loading, cost 3.60993s
map memory operations old address to new address...
getting data writes...
getting metadata writes...
calculating wearcount...
0,3
1,4
2,a3f8
3,3
4,2
5,0
6,0
7,0
8,0
9,0
a,0
b,0
c,600a
d,a73
e,f98
f,9da
10,8040
11,8c4
12,921
13,837
14,8ce
15,915
16,89a
17,7b0
18,781
19,7ad
1a,745
1b,789
1c,702
1d,64b
1e,6e3
1f,606
20,59f
21,600
22,607
23,5b4
24,5c6
25,59a
26,64f
27,59e
28,721
29,52c
2a,533
2b,4e7
2c,799e
2d,44d
2e,2ae4
2f,504
30,3c3
31,136f0
32,3
33,2
34,0
35,0
36,0
37,0
38,0
39,0
3a,0
3b,0
3c,0
3d,0
3e,0
3f,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
4a,0
4b,0
4c,0
4d,0
4e,0
4f,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
5a,0
5b,0
5c,0
5d,0
5e,0
5f,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
6a,0
6b,0
6c,0
6d,0
6e,0
6f,0
70,0
71,0
72,17b
73,1f
74,26
75,35
76,78
77,41
78,2d
79,22
7a,2c
7b,23
7c,3b
7d,1f
7e,3c
7f,83
80,30
81,4f
82,753
83,7d4
84,349
85,422
86,406
87,48b
88,418
89,349
8a,3a9
8b,3a1
8c,328
8d,389
8e,38b
8f,2e7
90,2d0
91,2ba
92,2bc
93,28d
94,2c9
95,288
96,2eb
97,37e
98,2e4
99,349
9a,360
9b,325
9c,318
9d,2c4
9e,306
9f,2fa
a0,2bb
a1,267
a2,2ff
a3,275
a4,358
a5,346
a6,2d3
a7,356
a8,280
a9,2f8
aa,318
ab,309
ac,364
ad,2e0
ae,35b
af,3c7
b0,264
b1,291
b2,240
b3,2dd
b4,253
b5,22e
b6,219
b7,1cc
b8,1c9
b9,1ef
ba,20d
bb,1f2
bc,1dc
bd,1a8
be,238
bf,292
c0,27c
c1,1b2
c2,1ae
c3,22d
c4,1d1
c5,1ee
c6,1db
c7,18b
c8,1ea
c9,1d5
ca,186
cb,181
cc,1b5
cd,16c
ce,196
cf,154
d0,164
d1,23e
d2,21b
d3,1d6
d4,1e4
d5,1a8
d6,23c
d7,1b3
d8,18f
d9,16d
da,1b4
db,18e
dc,1c5
dd,15c
de,195
df,166
e0,18f
e1,163
e2,162
e3,145
e4,132
e5,14b
e6,132
e7,12e
e8,124
e9,12e
ea,145
eb,148
ec,13a
ed,161
ee,14a
ef,12e
f0,11c
f1,104
f2,11f
f3,109
f4,12d
f5,f5
f6,e7
f7,ea
f8,ff
f9,ef
fa,10b
fb,f5
fc,d7
fd,ce
fe,d3
ff,d2
100,db
101,fd
102,104
103,ce
104,dd
105,f4
106,d9
107,fc
108,b8
109,b9
10a,d2
10b,cc
10c,c6
10d,da
10e,cd
10f,c5
110,d1
111,ac
112,aa
113,bd
114,be
115,ad
116,a3
117,a0
118,a6
119,c3
11a,a1
11b,9d
11c,9d
11d,aa
11e,ac
11f,cb
120,bd
121,c0
122,a7
123,ad
124,cc
125,cd
126,b2
127,aa
128,a5
129,a8
12a,b6
12b,b7
12c,ad
12d,b4
12e,c6
12f,b7
130,b6
131,b1
132,f5
133,c3
134,103
135,cd
136,cf
137,d1
138,e6
139,ac
13a,f1
13b,c2
13c,ba
13d,c4
13e,cb
13f,c8
140,14d
141,a4
142,b9
143,eb
144,d9
145,bd
146,d8
147,d2
148,ed
149,b6
14a,cd
14b,ba
14c,b8
14d,c2
14e,ce
14f,ae
150,ad
151,b4
152,e7
153,d4
154,db
155,d1
156,b2
157,bd
158,ca
159,b1
15a,be
15b,b7
15c,f4
15d,17a
15e,dc
15f,d1
160,c8
161,a6
162,c2
163,b7
164,d0
165,b7
166,90
167,95
168,c7
169,97
16a,a7
16b,af
16c,9e
16d,6f
16e,6d
16f,a7
170,81
171,6a
172,92
173,7c
174,8f
175,92
176,a4
177,46
178,90
179,4f
17a,5e
17b,5f
17c,58
17d,41
17e,2f
17f,29
180,2e
181,44
182,3d
183,3b
184,2b
185,27
186,20
187,21
188,1e
189,1f
18a,18
18b,22
18c,2d
18d,2e
18e,3b
18f,31
190,24
191,18
192,11
193,10
194,14
195,14
196,14
197,d
198,5
199,0
19a,0
19b,0
0,2712
1,1
2,5200
3,2
4,2
5,3
6,3
7,2
8,1
9,1
a,1
b,1
c,5238
d,308d
e,5d5
f,521
10,77ce
11,2d98
12,2d96
13,c4f5
14,7a08
15,2bc0
16,488
17,3c3
18,3bc
19,3f5
1a,9c1e
1b,2843
1c,37f
1d,35a
1e,30b
1f,306
20,2bd
21,2d5
22,30a
23,2d1
24,2a6
25,2d8
26,2cd
27,47a
28,2d5
29,275
2a,264
2b,291b
2c,5035
2d,28f9
2e,1db
2f,1c2
30,170
31,7e
32,2
33,2
34,3
35,3
36,2
37,1
38,1
39,1
3a,1
3b,1
3c,1
3d,1
3e,1
3f,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
4a,1
4b,1
4c,1
4d,1
4e,1
4f,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
5a,1
5b,1
5c,1
5d,1
5e,1
5f,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
6a,1
6b,1
6c,1
6d,1
6e,1
6f,1
70,1
71,1
72,1c
73,15
74,14
75,25
76,36
77,24
78,1a
79,14
7a,13
7b,11
7c,1d
7d,1d
7e,18
7f,31
80,22
81,20
82,15
83,296
84,1df
85,1cf
86,1b9
87,208
88,1e8
89,1b4
8a,198
8b,1c8
8c,18a
8d,17c
8e,197
8f,18b
90,140
91,12b
92,146
93,13f
94,12c
95,130
96,14e
97,150
98,15c
99,188
9a,1ab
9b,19d
9c,156
9d,143
9e,14a
9f,145
a0,140
a1,120
a2,121
a3,115
a4,100
a5,15f
a6,137
a7,137
a8,133
a9,151
aa,182
ab,157
ac,162
ad,167
ae,114
af,149
b0,16e
b1,ec
b2,dc
b3,12e
b4,134
b5,ed
b6,c2
b7,b6
b8,c1
b9,e5
ba,106
bb,fb
bc,d2
bd,b9
be,f5
bf,118
c0,104
c1,bc
c2,b4
c3,ec
c4,e0
c5,bd
c6,e8
c7,c1
c8,9e
c9,c5
ca,b4
cb,99
cc,ad
cd,a7
ce,aa
cf,9f
d0,8b
d1,c6
d2,100
d3,ca
d4,bf
d5,bd
d6,c7
d7,bd
d8,aa
d9,98
da,bc
db,aa
dc,ae
dd,a2
de,a3
df,98
e0,a2
e1,9a
e2,94
e3,85
e4,77
e5,80
e6,85
e7,81
e8,76
e9,7e
ea,8a
eb,8a
ec,7d
ed,93
ee,97
ef,89
f0,75
f1,70
f2,77
f3,77
f4,68
f5,67
f6,66
f7,60
f8,63
f9,63
fa,68
fb,67
fc,5c
fd,54
fe,56
ff,55
100,52
101,5b
102,6a
103,5b
104,52
105,69
106,5e
107,57
108,50
109,4b
10a,4c
10b,57
10c,50
10d,50
10e,58
10f,4e
110,56
111,57
112,48
113,42
114,45
115,4f
116,44
117,42
118,40
119,46
11a,42
11b,42
11c,3e
11d,41
11e,46
11f,46
120,49
121,4f
122,4d
123,41
124,4a
125,56
126,51
127,44
128,43
129,46
12a,44
12b,4d
12c,49
12d,46
12e,4a
12f,48
130,4c
131,49
132,49
133,50
134,4f
135,42
136,59
137,4f
138,56
139,46
13a,4b
13b,5d
13c,4c
13d,4c
13e,50
13f,57
140,4f
141,4a
142,44
143,51
144,62
145,4c
146,4c
147,4c
148,5e
149,4d
14a,49
14b,51
14c,4c
14d,4c
14e,4f
14f,48
150,48
151,48
152,4b
153,62
154,54
155,51
156,5d
157,48
158,50
159,52
15a,48
15b,4a
15c,4d
15d,6b
15e,68
15f,56
160,59
161,57
162,49
163,4d
164,44
165,5a
166,44
167,3f
168,42
169,41
16a,41
16b,49
16c,48
16d,41
16e,31
16f,39
170,2d
171,2b
172,31
173,26
174,29
175,35
176,2c
177,1f
178,20
179,1c
17a,26
17b,26
17c,2a
17d,26
17e,1d
17f,14
180,14
181,14
182,20
183,16
184,1b
185,15
186,16
187,e
188,10
189,e
18a,c
18b,b
18c,11
18d,14
18e,13
18f,1b
190,14
191,13
192,11
193,a
194,9
195,b
196,9
197,9
198,8
199,8
19a,5
19b,1
saving wearcout info to file...
